product,description,category,price_start_from
Red Light Therapy,"Sinar merah pada kulit kepala untuk meningkatkan aliran darah, mengurangi kerontokan, dan merangsang pertumbuhan rambut baru.",Light Therapy,"Rp227,500"
DNA Salmon Skin Restoration,"Treatment untuk kulit flawless, menghaluskan tekstur, meratakan warna, dan mengurangi acne scars serta bekas jerawat kemerahan/kehitaman.",Microneedle,"Rp3,525,000"
Scar Treatment by Microneedle,"Electroporation Needle System untuk merangsang kolagen-elastin dan memperbaiki depressed scar (bopeng jerawat).",Microneedle,"Rp1,385,000"
Microneedle - EPN & Dermapen 4,"Peremajaan kulit dengan Auto Microneedle + Electroporation untuk kolagen-elastin, perbaikan tekstur, dan mengecilkan pori.",Microneedle,"Rp1,385,000"
Bye Melasma,"Microneedle dengan serum asam traneksamat yang terbukti klinis mengurangi melasma secara efektif.",Microneedle,"Rp860,000"
Pore Minimizing Treatment by Microneedle,"Auto Microneedle + Electroporation untuk merangsang kolagen-elastin, memperbaiki tekstur, dan mengecilkan pori-pori.",Microneedle,"Rp1,385,000"
Advanced Skin Booster Peptide,"Skin booster serum peptide untuk mencerahkan, mengecilkan pori, memperbaiki tekstur, dan mengurangi garis halus & kerutan.",Microneedle,"Rp2,325,000"
Ageless Skin Treatment,"Injeksi serum untuk meregenerasi kulit dan mengurangi kerutan serta tanda penuaan dalam 1x treatment.",Microneedle,"Rp3,150,000"
Skinvestment by Active Growth Factor (Secretome),"Treatment dengan secretome growth factor untuk mempercepat rejuvenasi, merangsang kolagen-elastin, dan meningkatkan elastisitas.",Microneedle,"Rp3,925,000"
Anti Hair Fall Therapy by Dermapen4,"Serum anti kerontokan dengan metode Dermapen 4 untuk mengurangi kerontokan dan mempercepat pertumbuhan rambut.",Microneedle,"Rp1,700,000"
Hair Grow Activation Therapy by Dermapen4,"Hair growth serum dengan Dermapen 4 + Red Light Therapy untuk pertumbuhan rambut baru yang lebih sehat dan kuat.",Microneedle,"Rp1,950,000"
PRP HGAT by Dermapen4,"Dermapen 4 + PRP dari plasma darah pasien untuk regenerasi folikel, mengatasi rambut rontok, dan merangsang rambut baru yang tebal dan kuat.",Microneedle,"Rp2,449,000"
Skin Tightening Therapy by Ulthera for Mid lower face,"Ulthera (USA) MFUV ke lapisan SMAS, non-invasif, untuk pengencangan nyata, perbaikan kolagen-elastin, dan mengurangi kerutan.",Microneedle,"Rp15,050,000"
Pore Minimizing Treatment by Microneedle RF,"Microneedle RF dengan stimulasi kolagen-elastin ganda untuk mengencangkan pori sehingga tampak mengecil dan kulit lebih halus.",Radio Frequency,"Rp3,775,000"
Subcision by Microneedle RF,"Memutus ikatan jaringan bekas jerawat cekung + radiofrequency untuk merangsang kolagen-elastin dan memperbaiki depressed scar.",Radio Frequency,"Rp1,350,000"
Scar Treatment by Microneedle RF,"Microneedle RF menghantarkan radiofrequency lewat jarum halus hingga 3,5mm untuk kolagen-elastin baru dan perbaikan tekstur kulit.",Radio Frequency,"Rp3,775,000"
Microneedle RF - Secret,"Peremajaan kulit Microneedle RF hingga kedalaman 3,5mm untuk mengecilkan pori dan memperbaiki tekstur kulit.",Radio Frequency,"Rp1,385,000"
Electrocauter,"Radiofrekuensi untuk mengangkat tumor jinak (kutil/daging tumbuh) secara efektif, minim sakit, tanpa pembedahan besar.",Radio Frequency,"Rp500,000"
Body Sculpting by EMSculpt Neo+,"Setara 20.000x sit up dalam 30 menit, membakar lemak dan membangun otot. Non-invasif untuk area perut, paha, dan bokong.",Radio Frequency,"Rp5,500,000"
Face & Body Tightening by Exilis Ultra 360,"Ultrasound + radio frekuensi untuk mengatasi lemak berlebih dan mengencangkan kulit, kulit kendur, double chin, dan pipi chubby.",Radio Frequency,"Rp1,000,000"
Skin Tightening Therapy by Volnewmer,"Teknologi Korea yang memfokuskan energi panas ke dermis untuk mengencangkan kulit dan merangsang kolagen baru tanpa sakit.",Radio Frequency,"Rp3,000,000"
Ultraformer MPT,"HIFU terbaru untuk tanda penuaan seperti kendur & kerutan, kulit tampak kencang dan kenyal. Hasil langsung terlihat dalam 1x treatment.",HIFU,"Rp1,650,000"
Skin Tightening Therapy by Ulthera,"Ulthera (USA) MFUV ke lapisan SMAS secara akurat sehingga kulit kencang dan garis halus berkurang.",HIFU,"Rp3,000,000"
Skin Restoration by Photo Ultherapy,"Kombinasi Ultherapy + Laser Photorejuvenation untuk lifting, tightening, mencerahkan, menghaluskan tekstur, dan mengecilkan pori.",HIFU,"Rp29,450,000"
Skin Tightening Therapy by Ultraskin,"HIFU yang bekerja hingga lapisan SMAS untuk mengencangkan kembali kulit yang kendur.",HIFU,"Rp1,150,000"
Skin Tightening Therapy by Tightan II,"Upgraded HIFU untuk kulit kendur, rahang kurang tegas, dan kerutan wajah dengan minim rasa sakit.",HIFU,"Rp1,300,000"
Cryosurgery,"Prosedur dengan suhu sangat dingin untuk mengatasi hypertrophic scar (keloid), umumnya dikombinasi penyuntikan obat.",Surgery,"Rp400,000"
Incision,"Pembedahan kecil untuk mengeluarkan cairan seperti nanah/darah, meredakan nyeri, dan mencegah infeksi.",Surgery,"Rp750,000"
Excision,"Bedah kecil untuk membuang jaringan (tumor jinak) dengan memotong, untuk biopsi, pengobatan lesi, atau kosmetis.",Surgery,"Rp1,100,000"
Blepharoplasty,"Bedah kelopak mata untuk menghilangkan kelebihan kulit/lemak agar mata tampak lebih segar dan proporsional.",Surgery,"Rp20,000,000"
Threadlift,"Tarik benang untuk mengencangkan wajah/tubuh tanpa sayatan, membentuk V-shape, dan mengoreksi contour wajah.",Surgery,"Rp2,710,000"
Endolift,"Micro Optical Fiber (FTF System Eufoton) untuk mengencangkan kulit, merangsang kolagen, dan mengurangi lemak berlebih.",Endolift,"Rp30,000,000"
HGAT by LASEmaR Laser,"Treatment non-invasif untuk mengatasi kerontokan, meningkatkan kepadatan rambut, dan memperbaiki kulit kepala tanpa merusak jaringan.",Endolift,"Rp1,800,000"
Signature PerfeClean,"Deep cleansing dengan medical grade equipment + acupressure & pemijatan untuk membersihkan komedo, mengangkat sel kulit mati, dan oil control.",Acne Center Treatment,"Rp495,000"
Essential Deep Pore Cleansing Therapy - Oil Control Serum,"DPCT sederhana durasi singkat dengan medical grade equipment untuk membersihkan komedo dan mengurangi minyak berlebih.",Acne Center Treatment,"Rp295,000"
Active Acne Therapy by IPL,"IPL + serum untuk meredakan jerawat aktif, membunuh bakteri penyebab jerawat, dan menormalkan kulit berminyak.",Acne Center Treatment,"Rp475,000"
Diamond Glow Facial,"Kombinasi Mild Crystal Dermabrasion, Lymphatic Drainage Vacuum, dan Mild Chemical Peeling untuk mengangkat sel kulit mati dan regenerasi kulit.",Acne Center Treatment,"Rp495,000"
Scar Laser Treatment by Picosure with FLA,"Picosure (USA) picosecond + Platinum Focus Lens Array untuk merangsang kolagen-elastin dan mengatasi depressed scar (bopeng).",Acne Center Treatment,"Rp3,275,000"
Collagen Rejuvenation Therapy by Microneedle RF - Full Tip,"Microneedle RF hingga 3,5mm untuk merangsang kolagen-elastin baru, mengatasi acne scar, dan menghaluskan permukaan kulit.",Acne Center Treatment,"Rp3,750,000"
Vascular Therapy by Vbeam,"Laser Vbeam untuk memperbaiki kelainan vaskuler seperti telangiectasia dan varises pada wajah dan badan.",Acne Center Treatment,"Rp3,680,000"
Skin Booster by Rejuran Healer,"Skin booster polynucleotide salmon DNA 2% untuk regenerasi kolagen, mengecilkan pori, menghidrasi, dan meratakan warna kulit.",Acne Center Treatment,"Rp6,025,000"
Skin Booster by Profhilo,"Skin booster Hyaluronic Acid tinggi, tahan 8x lebih lama, meningkatkan hidrasi 20% dan elastisitas kolagen 12x dengan 5 titik injeksi.",Acne Center Treatment,"Rp6,025,000"
Omnivita Injection,"Injeksi multivitamin kaya antioksidan untuk menjaga kesehatan, mengurangi peradangan, dan meningkatkan energi serta performa fisik.",Facial & Manual Therapies,"Rp999,000"
OmniVita Infusion,"Infusi multivitamin kaya antioksidan untuk menjaga kesehatan, mengurangi peradangan, dan meningkatkan energi serta performa fisik.",Facial & Manual Therapies,"Rp999,000"
Immuno Guard,"Infus vitamin C 1000 IU + B1 & B6 untuk menjaga daya tahan tubuh dan meningkatkan imunitas agar tubuh terasa segar.",Facial & Manual Therapies,"Rp485,000"
Glow Bright Infusion,"Infusi untuk mengembalikan kelembapan alami kulit, meningkatkan kesehatan rambut, kulit, kuku, dan membuat kulit lebih kenyal dan bercahaya.",Facial & Manual Therapies,"Rp485,000"
Hydra Glow Facial,"Facial intensif yang menutrisi dan menghidrasi kulit untuk mengembalikan kelembapan, kekenyalan, dan mencerahkan kulit kusam.",Facial & Manual Therapies,"Rp650,000"
Hydra Oil Clarifying Facial,"Facial intensif untuk kulit dehidrasi, berminyak, dan berjerawat: menenangkan iritasi, mengurangi breakout, dan menyeimbangkan kulit.",Facial & Manual Therapies,"Rp650,000"
PerfeClean Facial,"Treatment eksklusif untuk membersihkan pori maksimal, mengontrol sebum, mencegah jerawat (varian Essential/Basic/Signature).",Facial & Manual Therapies,"Rp295,000"
Glow Bright,"Treatment eksklusif untuk membersihkan pori dan mencerahkan wajah dengan serum brightening (varian Essential/Basic/Signature).",Facial & Manual Therapies,"Rp295,000"
Timeless Youth,"Facial menyeluruh yang membersihkan wajah dan menyamarkan kerutan untuk kulit lebih halus dan awet muda (varian Basic/Signature).",Facial & Manual Therapies,"Rp395,000"
Onsen Head Treatment,"Perawatan kulit kepala & rambut teknik water calming Jepang + pemijatan untuk ketenangan dan sirkulasi darah (3 varian).",Facial & Manual Therapies,"Rp750,000"
Hair Care Treatment,"Perawatan kulit kepala dan rambut + pemijatan untuk relaksasi dan nutrisi (varian Hair Growth/Hair Repair/Scalp Detox).",Facial & Manual Therapies,"Rp495,000"
Anti Dandruff Treatment,"Perawatan non-invasif kombinasi vakum dan penyerapan serum untuk menghilangkan minyak dan kotoran serta menutrisi kulit kepala.",Facial & Manual Therapies,"Rp699,000"
Body Rejuvenation Treatment - Deluxe,"Mengangkat sel kulit mati pada tubuh dilengkapi pijat untuk kulit tetap glowing, lembap, dan cerah.",Facial & Manual Therapies,"Rp650,000"
DNA Salmon Regeneration Facial,"Facial anti-aging premium dengan serum PDRN Salmon untuk regenerasi kulit, elastisitas, dan peremajaan kulit sensitif/pasca jerawat.",Facial & Manual Therapies,"Rp495,000"
Retinol Brightening Facial,"Facial brightening & anti-aging dengan Retinol murni + Niacinamide untuk mengembalikan kecerahan, menyamarkan garis halus, dan meratakan tekstur.",Facial & Manual Therapies,"Rp495,000"
Hyaluronic Repair Facial,"Facial melembapkan dan menenangkan dengan Niacinamide + Hyaluronic Acid untuk menguatkan skin barrier dan meratakan warna kulit.",Facial & Manual Therapies,"Rp495,000"
